timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1676113695334790,8,-1,-12,-7,0,-14,-2,-2
1676113695334790,-5,7,28,29,3,2,0,1
1676113695349780,0,11,24,12,-3,14,-1,-4
1676113695349780,-1,-9,-18,-13,-4,5,-3,7
1676113695351783,0,2,-3,-6,5,-8,-2,-5
1676113695351783,2,2,3,3,-9,-3,4,-2
1676113695372769,-4,-5,-11,-11,-2,10,-3,-2
1676113695372769,-3,-2,0,5,6,7,1,1
1676113695373768,-1,-1,-2,-9,-1,-20,-1,-1
1676113695373768,-1,-1,0,-1,4,-11,-1,-4
1676113695385761,2,-1,2,-3,-6,-3,2,1
1676113695385761,2,1,0,4,-3,4,-4,1
1676113695394756,-2,-3,-9,-2,-1,-5,-2,1
1676113695394756,-1,0,1,2,-3,3,1,-1
1676113695409748,0,1,3,-8,1,12,-2,-1
1676113695409748,0,-1,-1,0,-3,7,-1,0
1676113695411746,-4,-6,-13,12,17,-5,0,1
1676113695411746,4,4,5,-7,-6,-6,-1,-1
1676113695432734,11,9,30,30,2,4,3,2
1676113695432734,-17,-2,6,3,-3,-7,-5,-5
1676113695438730,-7,-37,-102,-73,-11,-3,1,-4
1676113695438730,1,7,40,-10,-7,-1,-2,-3
1676113695445726,-3,4,12,28,14,6,0,-3
1676113695445726,9,9,21,10,11,10,0,1
1676113695455722,3,18,44,24,-9,-4,1,4
1676113695455722,-5,-6,-26,-1,0,-3,-1,-4
1676113695469712,-2,-8,-11,-31,-16,7,-6,-2
1676113695469712,3,3,5,25,15,4,2,2
1676113695471712,-3,0,5,-5,2,-4,-1,0
1676113695471712,1,-1,0,7,2,-7,1,-2
1676113695492700,-4,-7,-2,-12,-9,-1,-1,0
1676113695492700,0,-5,-14,-10,-4,-4,-1,1
1676113695493700,1,4,5,5,-5,-3,-1,-1
1676113695493700,-1,-5,-2,-2,5,3,1,-1
1676113695506691,-3,1,-6,17,17,-1,-2,-2
1676113695506691,-2,-4,-8,-23,-14,0,1,0
1676113695515687,3,3,17,2,3,-3,-1,2
1676113695515687,1,6,11,14,2,0,-1,-1
1676113695529680,-3,-2,-2,-1,-4,3,-2,-3
1676113695529680,2,-3,-9,-5,5,4,0,-3
1676113695531678,2,3,5,3,-5,-3,1,0
1676113695531678,-3,-4,-11,4,-6,-7,-1,-2
1676113695552666,-2,-4,-10,-17,-5,-5,-2,-2
1676113695552666,0,-8,-34,8,11,8,-2,0
1676113695553665,-1,-8,8,-16,-23,-3,-2,1
1676113695553665,0,0,-1,-1,12,-1,2,-1
1676113695566659,0,-3,-5,-10,-17,2,-1,-2
1676113695566659,1,3,18,14,6,0,3,2
1676113695574653,-2,1,1,7,8,-4,-2,0
1676113695574653,0,2,6,1,-6,-2,-1,1
1676113695589644,-1,1,0,-6,-5,-7,1,1
1676113695589644,-2,-5,-8,-8,-7,-4,-4,-2
1676113695591644,3,0,3,6,6,22,2,2
1676113695591644,0,-1,0,-4,-5,-16,-3,-2
1676113695612632,-2,3,-4,4,6,3,-3,-4
1676113695612632,-1,-5,-5,-6,-9,-3,0,0
1676113695614631,1,0,7,7,2,-6,2,-1
1676113695614631,-3,-1,-6,-5,-4,-7,-2,-2
1676113695626624,-3,0,-1,1,3,-1,-2,-3
1676113695626624,1,0,13,4,-1,10,0,2
1676113695635619,-1,-2,-6,-2,-1,-4,1,1
1676113695635619,0,0,-1,-1,0,-1,0,0
1676113695649611,-2,-4,-7,-7,-3,-1,0,-3
1676113695649611,0,4,12,-6,-3,2,-1,0
1676113695651610,-2,-5,-4,7,5,4,-3,-1
1676113695651610,-2,-10,-3,5,1,3,-1,-2
1676113695672597,-2,5,6,-1,-2,-11,0,-2
1676113695672597,1,-2,0,-1,-4,-1,-2,0
1676113695674597,1,4,3,0,2,1,-1,1
1676113695674597,-2,2,0,-2,-1,5,-2,-1
1676113695686589,-1,-2,-1,2,-3,-6,-1,-3
1676113695686589,-1,-2,-15,-9,0,12,2,-1
1676113695695584,2,-1,7,4,1,-2,-2,1
1676113695695584,-2,-4,-5,-4,-5,-6,-2,-1
1676113695709577,-1,-2,-3,-3,1,5,-2,-4
1676113695709577,3,1,0,0,-3,-9,0,1
1676113695711575,-1,3,4,4,3,9,2,1
1676113695711575,-7,3,-1,1,3,7,2,2
1676113695732562,1,-3,-2,-2,-1,-8,-2,-2
1676113695732562,2,-2,1,-1,-1,-3,-3,-1
1676113695734562,11,7,-2,2,4,1,-2,2
1676113695734562,-11,-13,-3,-8,-7,-3,1,0
1676113695746555,-4,-4,-10,-7,-5,-9,-3,-6
1676113695746555,10,3,4,7,5,12,1,3
1676113695755551,-3,-3,-2,3,2,1,-2,-1
1676113695755551,6,4,11,3,1,-7,-1,2
1676113695769542,6,-2,-9,-6,-2,0,-4,7
1676113695769542,-25,-3,-2,-2,-4,0,0,-13
1676113695771541,-10,0,0,5,3,7,-2,14
1676113695771541,13,1,-3,-1,-2,3,-1,-2
1676113695792529,0,0,5,-2,-3,-10,-1,0
1676113695792529,10,0,-1,-2,0,4,-1,4
1676113695794528,0,1,-1,3,1,4,0,-2
1676113695794528,-6,5,2,-1,-1,-6,-3,-3
1676113695806520,-3,-2,4,-2,-1,-4,1,-2
1676113695806520,-1,-10,-6,-1,-4,2,0,1
1676113695815517,-2,-6,-4,2,1,3,-2,-5
1676113695815517,5,8,6,6,0,-4,-1,0
1676113695829508,-2,12,2,-3,-1,-4,-1,-6
1676113695829508,-4,-7,0,-8,-7,0,-1,-1
1676113695831507,14,-22,4,5,2,-1,0,1
1676113695831507,-14,0,-13,-2,0,-1,-2,-5
1676113695852494,-8,6,5,1,-1,0,2,-5
1676113695852494,7,8,4,1,-1,0,1,3
1676113695854494,7,5,2,2,2,6,-1,1
1676113695854494,1,-3,3,-3,-1,-8,-2,-1
1676113695866485,-3,-2,0,-1,-2,-6,-1,0
1676113695866485,-6,-3,-9,0,-1,5,-1,2
1676113695875482,2,0,2,-1,-2,-1,1,-4
1676113695875482,0,-2,-5,-6,-7,-9,-3,-3
1676113695890474,-2,-2,-3,0,0,2,1,-1
1676113695890474,5,-3,1,1,2,0,-2,1
1676113695891473,-4,3,0,0,0,-4,-1,1
1676113695891473,-1,1,-4,-2,-1,0,-1,-3
1676113695912461,6,-5,-1,-7,-6,-3,-2,-3
1676113695912461,-8,-5,-5,2,1,2,-1,2
1676113695914460,-3,-7,-11,-4,-3,-1,-1,-2
1676113695914460,0,-2,-1,-3,2,-1,-3,-3
1676113695926452,3,2,6,0,-2,-8,-2,-2
1676113695926452,4,5,6,8,5,5,0,1
1676113695935449,-5,3,-1,1,0,5,1,0
1676113695935449,-1,6,-5,-9,-5,-11,-1,-3
1676113695949439,-3,-13,-1,-1,-2,-2,-2,-2
1676113695949439,0,-4,-3,1,0,1,-1,1
1676113695956437,-4,2,-3,-2,-1,2,1,-1
1676113695956437,4,0,-3,-1,-1,1,0,-3
1676113695972425,-5,2,2,-3,-2,-7,-2,-1
1676113695972425,2,-5,2,1,-1,3,-2,0
1676113695974426,-8,-4,-5,2,1,9,1,-1
1676113695974426,-1,6,3,0,-1,-7,1,-2
1676113695995412,-2,2,-8,-2,0,-10,-2,-1
1676113695995412,3,-12,2,-4,-2,2,0,2
1676113695996412,4,-3,-10,-4,-5,-14,-3,-3
1676113695996412,1,-1,1,-3,-5,1,-3,-1
1676113696009404,-11,3,-4,0,0,11,2,-4
1676113696009404,4,9,1,3,3,14,-1,7
1676113696016401,-4,-1,7,0,5,-15,-12,-3
1676113696016401,5,-4,1,-1,-3,-10,1,-2
1676113696031394,-4,0,-1,-3,-2,0,-10,-5
1676113696031394,-7,3,1,0,-1,2,0,1
1676113696040387,-1,1,0,-2,1,-6,3,2
1676113696040387,0,-3,-1,-4,-2,-10,-4,-2
1676113696055378,3,-1,-2,-1,0,1,-2,2
1676113696055378,1,-1,-3,1,2,3,2,-3
1676113696056379,-2,0,1,-1,-2,0,3,0
1676113696056379,-4,-3,-4,-3,-2,-4,-2,-2
1676113696069370,2,0,-4,-4,-4,-3,3,-1
1676113696069370,1,3,0,8,7,14,4,3
1676113696076365,0,2,4,3,2,0,0,-2
1676113696076365,-3,-2,-1,-2,-1,-5,-2,-3
1676113696092357,1,-3,-5,-3,-5,-2,2,0
1676113696092357,1,1,-2,0,-5,-3,-2,0
1676113696094357,5,0,0,-1,4,3,0,-1
1676113696094357,-15,-5,-2,-7,-2,-1,2,-2
1676113696115345,4,0,3,4,5,-5,0,-1
1676113696115345,-1,-1,0,2,5,-13,-5,2
1676113696116344,-2,-2,-2,-3,-5,0,2,-2
1676113696116344,0,-2,-3,-6,-4,-5,-3,-3
1676113696129336,0,-2,-2,0,-3,-4,-4,1
1676113696129336,2,-1,0,2,0,2,2,0
1676113696136332,-4,-1,-1,-1,-2,-9,-2,-3
1676113696136332,-2,0,0,-3,-1,-3,-3,-4
1676113696152324,11,-1,-1,-4,-2,5,0,0
1676113696152324,-13,-2,-2,2,0,3,9,6
1676113696154324,-10,-1,0,-2,0,0,-2,-2
1676113696154324,13,4,2,2,1,-10,-2,0
1676113696175311,-11,-2,-2,0,-1,2,-1,-1
1676113696175311,1,-4,-3,-1,0,7,-4,-7
1676113696176311,3,0,0,-3,-3,-8,-4,-2
1676113696176311,3,0,-1,0,1,1,1,-1
1676113696189302,-4,1,4,2,0,-8,-2,6
1676113696189302,2,-3,0,3,1,1,-1,-2
1676113696196297,-3,1,-1,-2,-3,-1,0,-1
1676113696196297,0,-1,-1,-1,-1,5,-3,-3
1676113696212289,0,-1,-2,-2,-1,-1,4,-1
1676113696212289,-5,-1,-1,0,-2,1,0,0
1676113696214288,3,2,-1,-2,-2,-5,-3,-2
1676113696214288,-3,-1,-1,-2,-6,-1,2,-1
1676113696235277,-1,-2,-2,0,2,-1,-1,-3
1676113696235277,2,0,0,3,2,4,-2,-1
1676113696236277,-7,-2,-3,-1,0,1,-1,2
1676113696236277,-1,-2,-5,-4,-4,4,1,-2
1676113696249267,-12,-2,-2,-2,0,5,-1,2
1676113696249267,9,0,1,-2,-4,-2,-2,-1
1676113696256263,-3,1,0,-1,0,3,-1,-2
1676113696256263,-10,-2,-1,-1,1,-5,0,-3
1676113696272255,5,1,1,-1,-3,-1,0,-4
1676113696272255,2,0,-1,-1,-1,-1,0,1
1676113696274254,5,1,-1,0,-3,-4,-1,1
1676113696274254,-15,-1,-2,-3,-2,-7,-1,-3
1676113696295241,3,0,-1,-1,-1,-5,-1,-3
1676113696295241,-1,-3,0,1,-1,1,-3,1
1676113696296241,3,-3,0,-2,-3,1,2,-2
1676113696296241,12,-2,-1,-4,-1,2,3,-2
1676113696309233,-15,-3,-1,-2,0,-3,0,-3
1676113696309233,2,-1,2,3,2,6,-1,1
1676113696316228,4,-1,-4,-1,-2,-6,1,-1
1676113696316228,-5,0,0,1,2,-9,-3,7
1676113696332222,6,-2,0,-3,-2,1,-1,-6
1676113696332222,-10,0,-2,-1,0,1,0,2
1676113696334219,-4,0,1,1,-2,-1,-1,0
1676113696334219,-5,3,0,-2,-2,-5,-3,-4
1676113696355206,4,0,-2,-1,-3,-3,0,-3
1676113696355206,3,-1,-3,0,4,-1,-2,2
1676113696356207,3,-2,0,-2,0,1,1,0
1676113696356207,-4,-1,-1,-3,-2,-3,-2,-3
1676113696368200,2,2,0,1,-2,-7,-1,3
1676113696368200,10,-1,-2,-2,-1,11,2,-2
1676113696377194,-18,-1,-2,-2,-1,-7,-1,-1
1676113696377194,3,0,1,0,-1,-2,-2,-4
1676113696392187,1,-2,-1,-3,-2,3,-2,-1
1676113696392187,0,1,0,1,2,-5,0,1
1676113696394186,0,-2,-3,-1,2,-2,-1,-1
1676113696394186,-1,-1,1,1,1,-4,-3,0
1676113696415173,-1,-1,-3,-2,-4,-4,0,-2
1676113696415173,2,1,1,3,2,3,-1,3
1676113696416174,0,2,1,-1,-1,0,0,-3
1676113696416174,-2,-1,-1,-3,-3,-8,0,-1
1676113696428165,1,1,5,4,3,9,2,1
1676113696428165,2,-2,-3,-1,-3,3,0,0
1676113696437160,5,-2,-3,0,0,-6,-3,-2
1676113696437160,-12,-1,1,2,0,0,0,-2
1676113696452151,1,-1,1,-2,-3,-6,-2,-2
1676113696452151,-1,-1,-2,0,0,2,-1,-1
1676113696454151,3,1,1,-1,0,-5,-2,-2
1676113696454151,2,-1,-2,-5,-2,-4,-1,-3
1676113696475139,-2,-1,-1,-2,-1,4,-2,0
1676113696475139,-3,-2,-1,-1,0,0,-1,0
1676113696476138,-15,0,0,-1,-1,-3,-3,-4
1676113696476138,8,-3,-5,-2,-3,0,1,-1
1676113696488131,-5,1,0,1,-1,-2,-1,0
1676113696488131,13,-1,1,0,-4,-3,-3,4
1676113696505125,-15,0,1,1,2,4,1,3
1676113696505125,9,-1,-1,-4,-3,-2,1,-2
1676113696512118,1,-3,-2,-1,4,-1,-2,-2
1676113696512118,-2,-2,-1,3,3,5,0,-3
1676113696514117,4,-2,-2,-4,-4,-7,-2,-2
1676113696514117,-8,1,0,-1,0,-3,-1,-3
1676113696535105,2,-3,-2,-2,-3,0,1,2
1676113696535105,-5,0,0,0,0,-4,0,-2
1676113696537104,3,1,-2,-2,-3,0,1,0
1676113696537104,3,-1,-4,-3,-1,-2,-2,-1
1676113696549096,6,0,-1,-2,-1,-4,-2,-3
1676113696549096,-16,0,-1,-1,0,2,0,0
1676113696558093,6,-3,-2,1,0,-2,-1,-2
1676113696558093,-4,0,-2,-3,-2,0,1,-1
1676113696572082,-3,0,-2,0,0,-5,-1,-1
1676113696572082,2,0,2,2,2,2,-3,2
1676113696574082,0,1,-2,-4,-2,-5,-3,-3
1676113696574082,5,-2,-2,-1,-1,1,3,2
1676113696595071,-1,0,0,-2,0,3,2,-2
1676113696595071,-14,-4,-2,1,3,2,-5,-6
1676113696597070,4,0,0,0,1,-2,-2,0
1676113696597070,-7,0,-3,-3,-4,-3,-2,-1
1676113696609063,4,0,-3,-1,-1,-5,-3,1
1676113696609063,-1,-2,-1,0,-2,1,2,-2
1676113696618057,-2,0,-1,-1,-1,-3,1,-4
1676113696618057,1,-1,1,-1,-1,-4,0,-1
1676113696632050,-5,-2,0,-1,-2,-2,0,1
1676113696632050,3,0,-2,-1,1,2,-3,1
1676113696634049,-1,-2,-2,-2,0,-5,-3,-3
1676113696634049,-1,-1,-2,0,-3,-1,-2,-3
1676113696655036,-5,0,0,-2,-4,-2,0,-2
1676113696655036,5,-2,-3,1,1,4,1,0
1676113696657035,3,-1,2,0,-2,-3,0,0
1676113696657035,1,0,1,-2,-1,-3,-3,-2
1676113696669031,-3,-6,-2,0,-2,8,0,-1
1676113696669031,-2,1,-1,0,0,6,2,1
